Age,EdLevel,Gender,YearsCode,YearsCodePro,ComputerSkills,Accessibility,MentalHealth,MainBranch
0,1,0,6,4,23,0,1,1
0,2,0,5,2,7,0,0,1
1,0,0,4,3,11,0,0,1
0,2,0,15,11,19,0,0,0
0,2,0,20,6,8,0,1,1
0,3,0,13,9,8,0,0,1
0,1,0,9,1,6,0,0,1
1,2,0,15,15,13,0,1,1
1,4,0,30,25,10,0,0,1
1,0,0,29,26,15,0,0,1
0,2,0,12,9,8,0,0,1
0,2,0,4,2,4,0,0,1
0,1,0,5,0,10,0,0,1
1,3,0,40,21,18,1,0,1
0,0,0,3,2,17,0,0,1
1,2,0,12,10,20,0,0,1
1,2,0,30,26,14,0,0,1
0,2,0,11,8,14,0,0,1
1,2,0,22,13,13,0,0,1
0,2,1,6,1,15,0,0,0
0,2,0,7,3,15,0,0,1
0,2,0,10,5,7,0,0,1
1,2,0,14,7,9,0,0,1
0,2,1,20,8,13,0,0,1
0,2,0,6,3,15,0,0,1
0,3,0,13,11,10,0,0,1
0,2,0,8,3,15,0,0,1
0,3,0,15,13,12,0,0,1
1,2,0,20,20,2,0,1,1
1,2,0,39,32,5,0,0,1
1,1,0,13,10,12,0,0,1
0,3,0,15,8,19,0,0,1
0,3,0,10,4,17,0,1,1
1,3,0,28,11,23,0,0,1
1,3,0,21,13,28,0,0,1
0,2,0,6,4,13,0,1,1
0,2,0,6,2,14,0,1,1
0,3,0,18,9,12,0,0,1
0,3,0,8,5,24,0,0,1
0,2,2,10,3,20,0,0,1
1,2,0,8,5,25,0,0,1
1,4,0,20,17,11,0,0,1
1,0,0,34,23,11,0,0,1
0,0,0,10,6,4,0,0,1
1,2,0,18,15,1,0,0,0
1,3,0,10,6,18,0,0,1
1,4,2,20,10,2,0,0,0
0,3,1,7,3,5,0,0,1
1,3,0,20,18,9,0,0,1
0,4,0,10,6,37,0,1,1
0,2,0,11,5,16,0,0,1
0,2,0,3,2,9,0,0,1
0,1,0,12,12,6,0,0,1
1,3,0,19,13,5,0,1,1
0,2,0,17,10,3,0,1,1
0,2,0,12,6,19,0,0,1
1,0,0,12,6,4,0,0,1
0,2,1,5,4,25,0,0,1
1,1,0,27,22,10,0,0,0
0,3,0,6,2,14,1,0,1
1,1,0,22,17,15,0,0,1
0,2,0,8,5,18,0,0,1
1,2,0,17,13,8,0,0,1
0,2,0,12,5,23,0,0,1
1,4,0,19,18,16,0,0,0
0,2,2,7,1,20,0,0,1
1,1,0,30,19,16,0,0,1
0,1,0,8,6,24,0,0,1
0,2,0,6,6,3,0,0,0
0,0,0,3,1,14,0,0,1
0,2,0,13,8,18,0,0,1
0,2,0,5,5,11,0,0,1
0,1,0,5,3,6,0,0,0
0,2,0,7,6,15,0,1,1
1,2,1,17,15,4,1,1,1
0,2,0,3,3,8,0,1,1
0,2,1,7,0,9,0,0,1
0,2,0,9,5,19,0,0,1
0,2,0,7,1,25,0,0,1
0,3,0,13,6,3,0,0,0
1,2,0,14,13,13,0,0,1
0,1,0,13,5,5,0,1,1
1,2,0,13,8,7,0,1,1
0,2,1,6,0,8,0,0,1
0,2,0,5,2,13,0,1,1
0,2,0,16,10,10,0,1,1
0,0,0,11,5,6,0,0,1
0,1,0,9,7,9,0,0,1
0,2,0,13,2,18,0,0,1
1,1,0,20,15,16,0,0,1
0,3,0,3,2,9,0,0,1
0,2,0,10,4,12,0,0,1
1,2,0,3,2,14,0,1,1
0,2,0,13,7,13,0,0,1
1,3,0,20,10,4,0,0,1
1,1,0,27,23,10,0,1,1
0,3,0,13,1,10,0,0,1
1,1,0,30,20,4,0,0,1
0,1,0,11,9,18,0,0,1
0,1,0,16,11,20,0,1,1
0,2,0,9,2,11,0,0,1
0,0,0,8,5,16,0,1,1
0,1,0,13,4,17,0,1,1
0,3,0,6,5,2,0,0,0
1,1,0,39,33,37,0,1,1
1,2,0,36,23,9,0,0,0
0,2,0,16,10,19,0,0,1
0,2,0,8,3,16,0,0,1
1,3,0,25,20,12,0,0,1
0,2,0,10,3,16,0,0,1
1,2,0,21,21,22,0,0,0
1,1,0,25,20,9,0,0,1
1,2,0,25,21,38,0,0,1
0,3,0,14,6,13,0,0,0
0,3,0,6,3,27,0,0,1
0,0,0,5,1,12,0,0,1
1,2,0,34,34,15,0,0,0
0,2,1,16,10,17,0,0,1
1,2,2,33,22,4,0,1,1
0,2,0,6,6,15,0,0,1
1,2,0,16,11,7,0,0,1
1,3,0,25,16,19,0,1,1
0,2,0,11,7,9,0,0,1
1,2,0,19,17,10,0,0,1
0,2,1,10,4,14,0,0,1
0,2,0,5,1,15,0,0,1
0,2,0,13,11,13,0,0,1
0,3,0,11,4,24,1,1,1
1,2,0,21,13,13,0,0,1
0,0,0,8,4,16,0,0,1
0,2,0,14,10,26,0,0,1
1,2,0,24,22,10,0,0,1
0,1,0,10,5,19,0,0,1
0,1,0,15,10,23,0,0,1
0,2,0,8,5,25,0,0,1
0,2,0,6,6,17,0,0,1
0,2,0,7,1,36,0,0,1
0,4,0,12,7,3,0,0,0
0,3,0,11,6,12,0,0,1
0,3,0,14,10,17,0,1,1
0,3,0,10,3,13,0,0,1
0,2,0,20,13,33,1,1,1
0,2,0,8,4,19,0,0,1
1,1,1,36,26,14,0,1,1
0,3,0,8,8,13,0,0,0
1,1,0,36,22,9,0,0,1
0,2,0,19,8,15,0,1,1
1,1,0,30,21,21,0,1,1
0,2,0,5,2,5,0,1,1
1,2,0,34,23,5,0,0,1
0,3,0,5,5,7,0,0,1
1,2,0,5,0,15,0,0,0
0,2,0,12,4,9,0,1,1
0,2,0,14,7,25,0,0,1
1,3,0,10,5,16,0,1,1
0,1,0,9,6,14,0,0,1
1,2,0,37,27,13,0,1,1
1,1,0,32,22,19,0,0,1
0,2,0,10,7,12,0,0,1
1,0,1,23,7,13,0,1,1
0,2,0,10,6,24,0,0,1
1,1,2,25,13,31,0,0,1
0,2,0,8,3,13,0,0,1
1,2,0,29,21,15,1,0,0
1,1,0,8,6,14,0,0,1
1,2,0,30,22,15,1,1,1
0,3,0,8,4,13,0,0,1
0,2,0,8,2,12,0,0,1
0,2,0,7,2,6,0,0,1
0,1,0,7,5,26,0,0,1
